"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-08","4.03",,,,,"46","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-09","5.14",,,,,"48","24",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-10","1.34",,,,,"53","22",,,,,,,"    1",,,,,,,"    1",,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-11","5.37",,,,,"41","37",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-12","11.86",,,,,"39","36",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-13","6.93",,,,,"32","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-14","6.71",,,,,"32","27",,,,,,,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-15","7.61",,,,,"45","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-16","11.86",,,,,"42","32",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-17","14.76",,,,,"43","38",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-18","11.41",,,,,"42","38",,,,,,,,,,,,,,,,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-19","6.26",,,,,"44","37",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-20","4.92",,,,,"43","37",,,,,,,,,,,,,,"    1",,,,"    1","    1",,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-21","7.16",,,,,"43","36",,,,,,,,,,,,,,"    1",,,,"    1","    1",,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-22","6.49",,,,,"51","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-23","10.29",,,,,"46","34",,,,,,,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-24","7.38",,,,,"43","28",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-25","8.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-26","11.41",,,,,"47","32",,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-27","8.28",,,,,"52","37",,,,,,,,,,,,,,"    1",,,,"    1",,,"    1",,,,,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","1998-02-28","5.59",,,,,"56","32",,,,,,,,,,,,,,"    1",,,,"    1",,,,,,,"    1",,,
